year,assignment1,assignment2,assignment3,assignment4,assignment5,assignment6,assignment7,assignment8,exam1,exam2,texam,finalscore,presence,finalgrade,class
2016,10.00,10.00,7.14,10.00,8.57,10.00,10.00,,9.90,6.00,6.00,8.00,0.00,5.61,MM,H
2016,8.57,0.00,2.86,1.43,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.18,TR,H
2016,10.00,10.00,10.00,9.00,10.00,9.86,6.00,,9.50,3.50,10.00,10.00,10.00,8.19,MS,H
2016,10.00,1.43,10.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.31,SR-40,H
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-80,H
2017,10.00,8.14,7.14,8.14,5.71,7.00,7.00,,6.30,0.00,6.50,0.00,0.00,2.30,II-15,H
2017,10.00,2.86,2.86,1.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.24,TR,H
2017,8.57,4.29,2.86,1.43,0.00,2.86,2.00,,6.50,0.00,9.50,0.00,2.00,2.77,MI-10,H
2017,8.57,5.71,1.57,1.43,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.25,TR,H
2017,10.00,10.00,8.57,8.00,8.57,8.00,8.90,,5.60,10.00,10.00,10.00,10.00,9.45,SS,H
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-100,H
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-100,H
2017,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,9.30,0.00,0.00,0.00,0.00,1.87,II-15,H
2017,10.00,9.43,7.71,9.14,7.57,5.86,4.40,10.00,9.70,5.50,9.50,8.00,0.00,5.81,MM,H
2017,10.00,10.00,5.71,10.00,3.43,8.57,2.00,,5.90,10.00,10.00,10.00,8.00,8.82,SS,H
2017,10.00,8.57,2.86,8.71,10.00,0.00,0.00,,,8.50,8.50,0.00,4.00,4.93,MM-24,H
2015,10.00,5.71,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.22,TR,I
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-45,I
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-100,I
2017,10.00,10.00,2.86,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.33,SR-33,I
2017,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,9.90,7.50,10.00,0.00,7.00,6.96,MS,I
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-26,I
2017,10.00,10.00,10.00,9.14,0.00,6.29,7.30,,10.00,0.00,0.00,0.00,0.00,1.75,II-23,I
2017,4.29,5.43,3.00,1.43,4.57,2.86,1.30,,,0.00,10.00,10.00,1.00,3.57,MI-15,I
2017,8.57,10.00,10.00,10.00,9.29,5.57,9.00,,9.70,8.50,10.00,7.00,10.00,8.99,SS,I
2017,5.71,2.86,2.86,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.16,SR-60,I
2017,2.86,0.00,0.00,1.43,0.00,0.00,1.00,,,0.00,0.00,0.00,0.00,0.08,II-24,I
2017,4.29,1.43,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.08,II-24,I
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,TR,I
2017,5.71,4.14,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.14,TR,I
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-75,I
2017,7.14,5.29,8.57,1.43,5.71,0.00,0.00,,6.30,0.00,10.00,3.00,10.00,5.31,MM,I
2017,8.57,7.71,2.86,6.86,9.29,3.57,0.00,,2.70,10.00,2.50,0.00,0.00,3.78,MI-24,I
2010,2.86,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.04,SR-30,J
2011,10.00,10.00,8.57,0.00,0.00,4.29,2.00,,3.30,0.00,0.00,0.00,0.00,0.83,II-10,J
2012,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR-45,J
2013,10.00,10.00,10.00,8.57,0.00,9.86,0.00,,,0.00,0.00,0.00,0.00,0.69,SR-40,J
2013,10.00,3.43,0.14,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.19,TR,J
2013,10.00,10.00,10.00,10.00,9.86,5.71,8.00,,9.70,0.00,5.30,10.00,10.00,6.62,MS,J
2013,8.57,10.00,7.14,4.29,9.86,9.86,8.00,,10.00,0.00,7.25,0.00,0.00,2.84,MI-10,J
