,year,assignment1,assignment2,assignment3,assignment4,assignment5,assignment6,assignment7,assignment8,exam1,exam2,texam,finalscore,presence,finalgrade,class
101,2017,10.0,8.57,5.71,8.57,9.29,8.57,0.0,8.57,0.0,10,10,8.11,0,MS,D
102,2017,10.0,10.0,10.0,10.0,10.0,10.0,9.14,7.29,10.0,10,10,11.43,0,SS,D
103,2017,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.57,10.0,10,9,11.29,0,SS,D
104,2017,10.0,10.0,10.0,4.29,9.71,0.0,0.0,0.0,0.0,0,0,0.83,0,TR,D
105,2017,10.0,8.57,10.0,4.29,5.71,0.0,0.0,0.0,0.0,0,0,0.72,0,TR,D
106,2017,7.14,8.57,8.57,10.0,10.0,6.29,5.71,4.29,0.0,9,7,7.04,0,MS,D
107,2017,10.0,10.0,10.0,10.0,10.0,7.43,8.57,5.71,0.0,1,7,3.24,0,MI,D
108,2017,10.0,10.0,10.0,10.0,10.0,3.29,8.57,7.0,10.0,8,9,10.09,0,SS,D
109,2017,10.0,10.0,10.0,10.0,10.0,7.57,9.43,6.14,10.0,10,9,11.17,0,SS,D
110,2017,10.0,10.0,10.0,10.0,10.0,8.29,7.14,6.29,10.0,9,7,10.24,0,SS,D
111,2012,1.43,0.0,8.57,10.0,10.0,10.0,10.0,10.0,0.0,0,5,2.13,0,II,E
112,2015,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.08,0,TR,E
113,2015,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,1.08,27,SR,E
114,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,TR,E
115,2016,4.29,0.0,2.86,2.29,0.0,0.0,0.0,0.0,0.0,0,0,0.18,0,TR,E
116,2016,10.0,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.27,80,SR,E
117,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,100,SR,E
118,2017,10.0,10.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4,90,SR,E
119,2017,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.57,8.5,10,9,10.82,0,SS,E
120,2017,10.0,10.0,10.0,10.0,10.0,10.0,7.14,7.86,10.0,1,8,6.51,0,MS,E
121,2017,10.0,10.0,10.0,4.29,10.0,2.86,0.0,5.71,10.0,8,9,9.79,0,SS,E
122,2017,8.57,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.19,51,SR,E
123,2017,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.71,3.5,3,6,5.24,0,MM,E
124,2017,10.0,10.0,10.0,8.57,1.43,1.43,0.0,1.43,10.0,0,7,5.2,0,MM,E
125,2017,10.0,5.71,8.57,7.43,9.71,8.57,0.0,5.71,9.5,10,9,10.69,0,SS,E
126,2017,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.57,10.0,0,8,6.07,0,MM,E
127,2017,7.14,10.0,2.86,0.0,0.0,7.14,0.71,0.0,0.0,0,7,1.92,0,II,E
128,2017,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.71,10.0,9,7,10.39,0,SS,E
129,2017,10.0,10.0,10.0,10.0,10.0,7.14,9.29,6.29,10.0,10,7,10.76,0,SS,E
130,2017,10.0,4.29,8.57,7.14,0.0,0.0,0.0,0.0,0.0,0,0,0.56,0,TR,E
131,2017,10.0,10.0,10.0,10.0,10.0,10.0,0.29,7.86,10.0,10,8,10.88,0,SS,E
132,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,II,E
133,2017,8.57,8.57,4.29,2.86,0.0,0.0,0.0,0.0,0.0,0,9,2.26,0,II,E
134,2017,10.0,10.0,6.14,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0.68,0,TR,E
135,2017,10.0,7.14,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.35,80,SR,E
136,2017,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.71,0.0,0,7,2.89,0,TJ,E
137,2013,10.0,1.43,10.0,10.0,9.71,10.0,8.57,0.0,0.0,0,6,2.32,28,SR,F
138,2013,10.0,4.29,7.14,1.43,0.0,0.0,0.0,0.0,0.0,0,0,0.43,0,TR,F
139,2013,4.29,0.0,0.0,1.43,8.43,7.14,0.0,0.0,0.0,0,9,2.2,0,II,F
140,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,98,SR,F
141,2014,2.86,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.08,97,SR,F
142,2015,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.71,10.0,5,10,8.98,0,SS,F
143,2015,10.0,10.0,10.0,10.0,10.0,10.0,9.86,8.71,10.0,0,10,6.47,0,MS,F
144,2016,4.29,2.86,0.0,2.86,5.71,2.86,1.43,2.86,10.0,10,8,10.03,0,SS,F
145,2016,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.08,91,SR,F
146,2016,10.0,7.14,4.29,4.43,4.0,3.71,1.43,0.0,4.0,0,8,3.46,0,MI,F
147,2016,4.29,5.71,8.57,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0.5,80,SR,F
148,2016,10.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.21,0,TR,F
149,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,100,SR,F
150,2017,7.14,4.29,5.71,4.86,0.0,0.0,0.0,0.0,0.0,0,0,0.41,80,SR,F
151,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,TR,F
152,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,100,SR,F
153,2017,2.86,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.08,80,SR,F
154,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,94,SR,F
155,2017,10.0,4.29,4.29,7.14,10.0,0.0,1.43,0.0,0.0,0,2,1.1,100,SR,F
156,2017,10.0,8.57,10.0,10.0,10.0,10.0,10.0,10.0,0.0,9,6,7.17,0,MS,F
157,2017,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.03,35,SR,F
158,2017,10.0,6.71,10.0,10.0,10.0,10.0,10.0,10.0,0.0,7,7,6.34,0,MM,F
159,2017,10.0,10.0,8.57,10.0,10.0,10.0,8.57,0.0,0.0,0,5,2.26,0,II,F
160,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,95,SR,F
161,2017,10.0,10.0,7.14,10.0,8.57,3.0,1.43,0.0,0.0,0,8,2.54,0,MI,F
162,2017,10.0,8.57,7.14,5.71,8.57,5.14,1.43,5.71,10.0,10,8,10.58,0,SS,F
163,2017,10.0,8.57,10.0,10.0,10.0,10.0,9.71,10.0,10.0,9,10,10.97,0,SS,F
164,2011,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.29,9.5,8,7,9.68,0,SS,G
165,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,TR,G
166,2014,10.0,4.29,0.0,10.0,10.0,8.71,10.0,1.43,10.0,10,8,10.62,0,SS,G
167,2014,8.57,7.14,10.0,7.14,0.0,4.29,0.0,3.14,9.0,10,4,9.26,24,SS,G
168,2014,10.0,8.57,10.0,7.14,10.0,10.0,10.0,10.0,5.5,0,6,4.27,0,MI,G
169,2015,0.0,7.14,0.0,0.0,10.0,10.0,0.0,5.71,0.0,10,7,7.02,0,MS,G
170,2015,8.57,10.0,8.57,1.43,0.0,0.0,0.0,0.0,0.0,0,0,0.54,0,TR,G
171,2015,8.57,10.0,8.57,1.43,0.0,0.0,0.0,0.0,0.0,0,0,0.54,0,TR,G
172,2015,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.71,10.0,7,6,9.12,0,SS,G
173,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,TR,G
174,2016,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.14,10.0,8,7,9.83,0,SS,G
175,2016,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.5,9,6,10.05,0,SS,G
176,2016,10.0,10.0,10.0,10.0,10.0,4.29,10.0,1.43,10.0,3,7,7.13,0,MS,G
177,2016,10.0,10.0,10.0,10.0,10.0,10.0,8.71,6.14,5.5,5,5,6.55,0,MS,G
178,2016,10.0,10.0,10.0,1.43,10.0,10.0,10.0,2.86,10.0,10,7,10.61,0,SS,G
179,2016,10.0,10.0,10.0,9.14,10.0,9.86,10.0,8.14,8.0,0,7,5.25,0,MM,G
180,2016,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.57,10.0,8,9,10.22,0,SS,G
181,2016,8.57,7.14,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0.67,0,TR,G
